match_type,match_date,tournament_name,surface,tournament_country,round_name,draw,result,result_status,winner_entry,winner_seed,winner_name,winner_country,loser_entry,loser_seed,loser_name,loser_country
Fed/BJK Cup,1978-12-03,World Group,Grass,Australia,Last 16,Main Draw,6-1 6-3,,,,Gail Benedetti,FRA,,,Raquel Giscafre,ARG
Fed/BJK Cup,1978-12-03,World Group,Grass,Australia,Last 16,Main Draw,6-4 6-2,,,,Francoise Durr,FRA,,,Ivanna Madruga-Osses,ARG
Fed/BJK Cup,1978-12-03,World Group,Grass,Australia,Last 32,Main Draw,6-2 6-4,,,,Raquel Giscafre,ARG,,,Anne-Mette Sorensen,DEN
Fed/BJK Cup,1977-06-18,World Group,Grass,United Kingdom,Last 32,Main Draw,0-6 6-4 6-3,,,,Leyla Musalem,CHI,,,Viviana Segal,ARG
Fed/BJK Cup,1977-06-18,World Group,Grass,United Kingdom,Last 16,Main Draw,6-4 6-4,,,,Mimi Wikstedt,SWE,,,Elvira Weisenberger,ARG
Fed/BJK Cup,1977-06-18,World Group,Grass,United Kingdom,Last 32,Main Draw,6-4 4-6 6-4,,,,Raquel Giscafre,ARG,,,Silvana Urroz,CHI
Fed/BJK Cup,1977-06-18,World Group,Grass,United Kingdom,Last 16,Main Draw,6-0 6-4,,,,Ingrid Bentzer,SWE,,,Raquel Giscafre,ARG
Fed/BJK Cup,1977-06-18,World Group,Grass,United Kingdom,Quarter Finals,Consolation Round,6-4 6-2,,,,Elvira Weisenberger,ARG,,,Marianne De Crop,BEL
Fed/BJK Cup,1977-06-18,World Group,Grass,United Kingdom,Last 16,Consolation Round,6-4 7-5,,,,Leyla Musalem,CHI,,,Viviana Segal,ARG
Fed/BJK Cup,1977-06-18,World Group,Grass,United Kingdom,Quarter Finals,Consolation Round,6-0 6-2,,,,Michele Gurdal,BEL,,,Viviana Segal,ARG
Fed/BJK Cup,1977-06-18,World Group,Grass,United Kingdom,Last 16,Consolation Round,6-3 4-6 6-3,,,,Raquel Giscafre,ARG,,,Silvana Urroz,CHI
Fed/BJK Cup,1976-08-29,World Group,I.carpet,United States,Last 16,Main Draw,6-0 6-3,,,,Betty Stove,NED,,,Raquel Giscafre,ARG
Fed/BJK Cup,1976-08-29,World Group,I.carpet,United States,Last 16,Main Draw,6-1 6-4,,,,Tine Zwaan,NED,,,Viviana Segal,ARG
Fed/BJK Cup,1976-08-29,World Group,I.carpet,United States,Last 32,Main Draw,6-1 7-6(0),,,,Raquel Giscafre,ARG,,,Judy Chaloner,NZL
Fed/BJK Cup,1976-08-29,World Group,I.carpet,United States,Last 32,Main Draw,7-5 6-0,,,,Viviana Segal,ARG,,,Pauline Elliott,NZL
Fed/BJK Cup,1975-05-11,World Group,Clay,France,Last 32,Main Draw,6-4 3-6 6-2,,,,Raquel Giscafre,ARG,,,Mima Jausovec,SLO
Fed/BJK Cup,1975-05-11,World Group,Clay,France,Last 16,Main Draw,2-6 6-4 6-3,,,,Raquel Giscafre,ARG,,,Helga Masthoff,FRG
Fed/BJK Cup,1975-05-11,World Group,Clay,France,Last 16,Main Draw,6-2 6-2,,,,Katja Ebbinghaus,FRG,,,Beatriz Araujo,ARG
Fed/BJK Cup,1975-05-11,World Group,Clay,France,Last 32,Main Draw,6-0 6-0,,,,Beatriz Araujo,ARG,,,Dora Alavantic,YUG
Fed/BJK Cup,1974-05-19,World Group,Clay,Italy,Semi Finals,Consolation Round,6-3 6-2,,,,Elvira Weisenberger,ARG,,,Monique Van Haver,BEL
Fed/BJK Cup,1974-05-19,World Group,Clay,Italy,Last 32,Main Draw,6-3 8-6,,,,Raquel Giscafre,ARG,,,Virginia Ruzici,ROU
Fed/BJK Cup,1974-05-19,World Group,Clay,Italy,Last 32,Main Draw,6-1 6-3,,,,Mariana Simionescu,ROU,,,Beatriz Araujo,ARG
Fed/BJK Cup,1974-05-19,World Group,Clay,Italy,Final,Consolation Round,8-6 6-8 6-3,,,,Hideko Goto,JPN,,,Elvira Weisenberger,ARG
Fed/BJK Cup,1974-05-19,World Group,Clay,Italy,Final,Consolation Round,6-1 6-3,,,,Raquel Giscafre,ARG,,,Kazuko Sawamatsu,JPN
Fed/BJK Cup,1974-05-19,World Group,Clay,Italy,Semi Finals,Consolation Round,6-3 6-2,,,,Raquel Giscafre,ARG,,,Michele Gurdal,BEL
Fed/BJK Cup,1974-05-19,World Group,Clay,Italy,Quarter Finals,Consolation Round,6-1 6-3,,,,Raquel Giscafre,ARG,,,Ellen Grindvold,NOR
Fed/BJK Cup,1974-05-19,World Group,Clay,Italy,Last 16,Consolation Round,6-1 6-3,,,,Elvira Weisenberger,ARG,,,Judy Chaloner,NZL
Fed/BJK Cup,1974-05-19,World Group,Clay,Italy,Last 16,Consolation Round,6-1 6-0,,,,Raquel Giscafre,ARG,,,Robyn Hunt,NZL
Fed/BJK Cup,1974-05-19,World Group,Clay,Italy,Quarter Finals,Consolation Round,6-1 6-0,,,,Beatriz Araujo,ARG,,,Bente Kjolstad,NOR
Fed/BJK Cup,1973-05-03,World Group,Clay,Germany,Last 16,Consolation Round,6-1 6-1,,,,Kazuko Sawamatsu,JPN,,,Ines Roget,ARG
Fed/BJK Cup,1973-05-03,World Group,Clay,Germany,Last 16,Consolation Round,6-3 7-5,,,,Hideko Goto,JPN,,,Elvira Weisenberger,ARG
Fed/BJK Cup,1973-05-01,World Group,Clay,Germany,Last 32,Main Draw,6-3 6-3,,,,Christina Sandberg,SWE,,,Ines Roget,ARG
Fed/BJK Cup,1973-05-01,World Group,Clay,Germany,Last 32,Main Draw,6-1 6-1,,,,Ingrid Bentzer,SWE,,,Raquel Giscafre,ARG
Fed/BJK Cup,1972-03-21,World Group,Hard,South Africa,Last 16,Main Draw,6-3 10-8,,,,Virginia Wade,GBR,,,Beatriz Araujo,ARG
Fed/BJK Cup,1972-03-21,World Group,Hard,South Africa,Last 16,Main Draw,6-3 7-5,,,,Winnie Wooldridge,GBR,,,Raquel Giscafre,ARG
Fed/BJK Cup,1972-03-20,World Group,Hard,South Africa,Last 32,Main Draw,9-7 8-10 6-4,,,,Leena Mutanen,FIN,,,Beatriz Araujo,ARG
Fed/BJK Cup,1972-03-20,World Group,Hard,South Africa,Last 32,Main Draw,6-1 6-0,,,,Raquel Giscafre,ARG,,,Helena Laitinen,FIN
Fed/BJK Cup,1970-12-28,World Group,Grass,Australia,Semi Finals,Consolation Round,6-1 6-1,,,,Kazuko Sawamatsu,JPN,,,Raquel Giscafre,ARG
Fed/BJK Cup,1970-12-28,World Group,Grass,Australia,Semi Finals,Consolation Round,6-2 2-6 6-3,,,,Kimiyo Hatanaka,JPN,,,Ines Roget,ARG
Fed/BJK Cup,1970-12-26,World Group,Grass,Australia,Last 16,Main Draw,6-4 11-9,,,,Robyn Hunt,NZL,,,Ines Roget,ARG
Fed/BJK Cup,1970-12-26,World Group,Grass,Australia,Last 16,Main Draw,9-7 6-3,,,,Marilyn Pryde,NZL,,,Raquel Giscafre,ARG
Fed/BJK Cup,1966-05-12,World Group,Clay,Italy,Last 16,Main Draw,6-4 6-4,,,,Edda Buding,FRG,,,Norma Baylon,ARG
Fed/BJK Cup,1966-05-12,World Group,Clay,Italy,Last 16,Main Draw,6-0 6-3,,,,Helga Masthoff,FRG,,,Graciela Moran,ARG
Fed/BJK Cup,1965-01-15,World Group,Grass,Australia,Last 16,Main Draw,7-5 6-4,,,,Elizabeth Terry,NZL,,,Nora Somoza,ARG
Fed/BJK Cup,1965-01-15,World Group,Grass,Australia,Last 16,Main Draw,6-3 6-3,,,,Norma Baylon,ARG,,,Ruia Morrison-Davy,NZL
Fed/BJK Cup,1964-09-03,World Group,Grass,United States,Quarter Finals,Main Draw,6-3 6-2,,,,Nancy Richey,USA,,,Ana-Maria Bocio,ARG
Fed/BJK Cup,1964-09-03,World Group,Grass,United States,Quarter Finals,Main Draw,12-10 9-7,,,,Billie Jean King,USA,,,Norma Baylon,ARG
Fed/BJK Cup,1964-09-02,World Group,Grass,United States,Last 16,Main Draw,8-6 6-2,,,,Norma Baylon,ARG,,,Christiane Mercelis,BEL
Fed/BJK Cup,1964-09-02,World Group,Grass,United States,Last 16,Main Draw,6-1 6-3,,,,Ana-Maria Bocio,ARG,,,Monique Bedoret,BEL
