tieId,tieName,matchId,dateMatch,result,winnerName,winnerCountry,loserName,loserCountry
698fa816-9b2d-4319-9842-16c9c2d60904,W-FC-2005-G2-AM-A-M-CHI-VEN-01,ad146701-e708-4add-98c0-80418f9c12e1,2005-04-23T00:00:00.000Z,7-6(3) 7-6(2),Valentina Castro / Melisa Miranda-Otarola,CHI,Mariaryeni Gutierrez / Briggitt Marcovich,VEN
698fa816-9b2d-4319-9842-16c9c2d60904,W-FC-2005-G2-AM-A-M-CHI-VEN-01,adceefeb-1f9c-4d9b-814c-04bc754a3b3f,2005-04-23T00:00:00.000Z,6-0 6-1,Valentina Castro,CHI,Avel-Romaly Coronado,VEN
acefbc9b-21c0-4979-9308-b5f78c1fbabb,W-FC-2005-G2-AO-M-PHI-UZB-01,3b8820b2-29e0-4754-9483-0356b073342b,2005-04-19T00:00:00.000Z,4-6 6-2 7-5,Ivanna Israilova,RUS,Anja-Vanessa Peter,PHI
acefbc9b-21c0-4979-9308-b5f78c1fbabb,W-FC-2005-G2-AO-M-PHI-UZB-01,46d0a539-2e7f-4157-a0b6-5969fb00c621,2005-04-19T00:00:00.000Z,6-0 6-2,Akgul Amanmuradova,UZB,Czarina-Mae Arevalo,PHI
acefbc9b-21c0-4979-9308-b5f78c1fbabb,W-FC-2005-G2-AO-M-PHI-UZB-01,b102dc13-78fd-4a81-9ace-276ee70fbaef,2005-04-19T00:00:00.000Z,6-4 6-4,Akgul Amanmuradova / Dilyara Saidkhodjaeva,UZB,Denise Dy / Czarina-Mae Arevalo,PHI
910aafab-8301-49db-aea5-a1baf70569e3,W-FC-2005-G2-AO-M-SYR-TKM-01,3552db85-97fd-4fa6-87d7-6ac67794aa67,2005-04-19T00:00:00.000Z,6-2 6-2,Ummarahmat Hummetova,TKM,Hazar Sidki,SYR
910aafab-8301-49db-aea5-a1baf70569e3,W-FC-2005-G2-AO-M-SYR-TKM-01,5b889072-5d0c-4567-bcd9-4393a87d5e85,2005-04-19T00:00:00.000Z,6-1 6-3,Hazar Sidki / Shaza Tinawi,SYR,Almira Hallyeva / Ummarahmat Hummetova,TKM
910aafab-8301-49db-aea5-a1baf70569e3,W-FC-2005-G2-AO-M-SYR-TKM-01,bded06e1-b541-47c4-9b94-a0bc7e52a92f,2005-04-19T00:00:00.000Z,6-3 6-3,Shaza Tinawi,SYR,Almira Hallyeva,TKM
54ce47cf-f703-45db-a5da-ac1ae8f5c161,W-FC-2005-G2-AO-M-PHI-TKM-01,24f85f29-32f2-495b-a7a6-8d0fa0f8faba,2005-04-20T00:00:00.000Z,6-1 6-0,Denise Dy / Czarina-Mae Arevalo,PHI,Almira Hallyeva / Ummarahmat Hummetova,TKM
54ce47cf-f703-45db-a5da-ac1ae8f5c161,W-FC-2005-G2-AO-M-PHI-TKM-01,5c5d5822-0fd1-4e82-abab-e1e066f0584c,2005-04-20T00:00:00.000Z,6-1 6-0,Denise Dy,PHI,Inna Gavrilenko,TKM
54ce47cf-f703-45db-a5da-ac1ae8f5c161,W-FC-2005-G2-AO-M-PHI-TKM-01,97780381-61da-48e2-99bb-7b06bad82188,2005-04-20T00:00:00.000Z,6-1 6-1,Anja-Vanessa Peter,PHI,Almira Hallyeva,TKM
c008c89e-bbec-4fc9-9f6d-624505675837,W-FC-2005-G2-AO-M-UZB-SYR-01,360b27cb-7787-4f46-9797-8a48416ee12a,2005-04-20T00:00:00.000Z,6-1 6-2,Akgul Amanmuradova / Dilyara Saidkhodjaeva,UZB,Hazar Sidki / Nivin Kezbari,SYR
c008c89e-bbec-4fc9-9f6d-624505675837,W-FC-2005-G2-AO-M-UZB-SYR-01,3c694b40-4386-45cd-ae3b-8a9225440c8e,2005-04-20T00:00:00.000Z,6-0 6-0,Akgul Amanmuradova,UZB,Shaza Tinawi,SYR
c008c89e-bbec-4fc9-9f6d-624505675837,W-FC-2005-G2-AO-M-UZB-SYR-01,c55464bc-4211-4df1-a484-a321455986a9,2005-04-20T00:00:00.000Z,6-0 6-0,Dilyara Saidkhodjaeva,UZB,Nivin Kezbari,SYR
933a08cc-2881-4108-a1ea-6ffa814fdd09,W-FC-2005-G2-AO-M-PHI-SYR-01,26b630de-8871-45dd-aff6-5c06da9ca956,2005-04-21T00:00:00.000Z,6-0 6-0,Denise Dy,PHI,Hazar Sidki,SYR
933a08cc-2881-4108-a1ea-6ffa814fdd09,W-FC-2005-G2-AO-M-PHI-SYR-01,5b6171f6-9048-4d8f-9e31-b39fe5ce51ed,2005-04-21T00:00:00.000Z,6-1 6-1,Czarina-Mae Arevalo / Denise Dy,PHI,Nivin Kezbari / Hazar Sidki,SYR
933a08cc-2881-4108-a1ea-6ffa814fdd09,W-FC-2005-G2-AO-M-PHI-SYR-01,8dd42501-4477-4b61-bfa7-2c0134b36acc,2005-04-21T00:00:00.000Z,6-0 6-3,Anja-Vanessa Peter,PHI,Shaza Tinawi,SYR
96b79c4f-8305-4c18-97e3-7f11fea3bc13,W-FC-2005-G2-AO-M-UZB-TKM-01,299f68da-3026-46e2-90df-273b7b31671d,2005-04-21T00:00:00.000Z,6-0 6-0,Akgul Amanmuradova / Dilyara Saidkhodjaeva,UZB,Almira Hallyeva / Ummarahmat Hummetova,TKM
96b79c4f-8305-4c18-97e3-7f11fea3bc13,W-FC-2005-G2-AO-M-UZB-TKM-01,7bc0bec8-fe1a-42bf-8f38-e2d016a3e25e,2005-04-21T00:00:00.000Z,6-0 6-2,Akgul Amanmuradova,UZB,Almira Hallyeva,TKM
96b79c4f-8305-4c18-97e3-7f11fea3bc13,W-FC-2005-G2-AO-M-UZB-TKM-01,cf0597ba-6deb-4d49-bf27-41e809db0a9c,2005-04-21T00:00:00.000Z,6-0 6-0,Dilyara Saidkhodjaeva,UZB,Ummarahmat Hummetova,TKM
a6b1727a-b1fb-4681-ae12-479687568287,W-FC-2005-G2-EPA-A-M-ROU-TUN-01,44e95009-7280-42fe-8c16-2dc37ab61d6a,2005-04-27T00:00:00.000Z,6-0 6-2,Gabriela Niculescu,ROU,Rym Cherni,TUN
a6b1727a-b1fb-4681-ae12-479687568287,W-FC-2005-G2-EPA-A-M-ROU-TUN-01,7c59fd5c-b283-41df-b2b2-069f56893d50,2005-04-27T00:00:00.000Z,6-0 6-1,Simona-Iulia Matei,ROU,Olfa Dhaoui,TUN
a6b1727a-b1fb-4681-ae12-479687568287,W-FC-2005-G2-EPA-A-M-ROU-TUN-01,f04a94a5-9bcc-4abf-837e-b8173fb26547,2005-04-27T00:00:00.000Z,6-0 6-0,Monica Niculescu / Gabriela Niculescu,ROU,Olfa Dhaoui / Selima Frioui,TUN
429dfb5e-f65e-41dc-b984-91e4422bca74,W-FC-2005-G2-EPA-A-M-FIN-LTU-01,3dd10d0a-907d-482f-b8ab-ad41f1b828fc,2005-04-27T00:00:00.000Z,6-3 6-2,Aurelija Miseviciute,LTU,Piia Suomalainen,FIN
429dfb5e-f65e-41dc-b984-91e4422bca74,W-FC-2005-G2-EPA-A-M-FIN-LTU-01,8713e133-d892-44d7-b2f0-8dd9ca0af033,2005-04-27T00:00:00.000Z,6-4 6-4,Piia Suomalainen / Emma Laine,FIN,Aurelija Miseviciute / Lina Stanciute,LTU
429dfb5e-f65e-41dc-b984-91e4422bca74,W-FC-2005-G2-EPA-A-M-FIN-LTU-01,965ad778-e5db-47bf-bb65-be72bdb86ba0,2005-04-27T00:00:00.000Z,6-4 6-2,Emma Laine,FIN,Lina Stanciute,LTU
55a790e4-bdfc-426a-ab73-439b9cb7fb38,W-FC-2005-G2-EPA-A-M-ROU-FIN-01,3c6cf5a7-fa14-4bea-ace9-5e7fe24b7317,2005-04-28T00:00:00.000Z,6-2 6-0,Monica Niculescu,ROU,Piia Suomalainen,FIN
55a790e4-bdfc-426a-ab73-439b9cb7fb38,W-FC-2005-G2-EPA-A-M-ROU-FIN-01,7f9d5efc-c0fe-431e-bfdb-b10c2184f931,2005-04-28T00:00:00.000Z,2-6 6-3 6-3,Gabriela Niculescu / Monica Niculescu,ROU,Piia Suomalainen / Emma Laine,FIN
55a790e4-bdfc-426a-ab73-439b9cb7fb38,W-FC-2005-G2-EPA-A-M-ROU-FIN-01,e3bc0c54-5b42-4347-8b53-e5550433165d,2005-04-28T00:00:00.000Z,7-5 6-3,Emma Laine,FIN,Simona-Iulia Matei,ROU
7636cd60-87b8-4c3f-8240-d58058299040,W-FC-2005-G2-EPA-A-M-LTU-TUN-01,2771a898-7766-4380-91d9-989a460cc2b6,2005-04-28T00:00:00.000Z,6-0 6-0,Aurelija Miseviciute,LTU,Selima Frioui,TUN
