display_name,wta_id,itf_id,alias_record_found,raw_name_variants,first_unmatched_match_date,last_unmatched_match_date,unmatched_match_count,source_files,example_tournaments,example_ranking_week_dates
Penny Barg-Mager,,800177792,yes,Penny Barg-Mager,1985-03-18,1987-03-30,3,gs_matches_arg.csv | wta_matches_arg.csv,Brazil Open - Sao Paulo | Roland Garros | Wild Dunes - Charleston,1985-03-18 | 1985-05-27 | 1987-03-30
Penny Moor,,800175519,yes,Penny Moor,1977-08-24,1977-08-24,1,gs_matches_arg.csv,US Open,
Petra Feucht,,800177695,yes,Petra Feucht,1983-07-04,1984-05-28,2,gs_matches_arg.csv | wta_matches_arg.csv,Fila European Cup Hittfeld - Hamburg | Roland Garros,1983-07-04 | 1984-05-28
Petra Pichalova-Langrova,,800180057,yes,Petra Pichalova-Langrova,1989-04-03,1998-05-11,11,gs_matches_arg.csv | itf_matches_arg.csv | wta_matches_arg.csv,"$75,000 Oporto | Bausch & Lomb Championships - Amelia Island | Clarins Open - Paris | Family Circle Cup - Hilton Head Island | Open Clarins - Paris",1989-04-03 | 1989-09-18 | 1990-05-07 | 1990-09-17 | 1991-09-16
Priscila Reis,,800204369,yes,Priscila Reis,1996-10-21,1996-10-21,1,itf_matches_arg.csv,"$10,000 Rio Grande Sul",1996-10-21
Radomira Zrubakova,,800178829,yes,Radomira Zrubakova,1988-05-23,1999-03-29,21,gs_matches_arg.csv | itf_matches_arg.csv | wta_matches_arg.csv,"$50,000 Sedona | Bausch & Lomb Championships - Amelia Island | Belgian Open - Brussels | Clarins Open - Paris | Danone Hardcourt Championships - Brisbane",1988-05-23 | 1988-06-20 | 1989-05-15 | 1989-07-17 | 1990-07-09
Raffaella Reggi-Concato,,800177898,yes,Raffaella Reggi-Concato,1984-07-09,1992-05-04,18,gs_matches_arg.csv | wta_matches_arg.csv,Australian Open | Canadian Open - Montreal | Citizen Cup - Hamburg | Internazionali Femminili di Palermo - Palermo | Italian Open - Rome,1984-07-09 | 1985-05-20 | 1985-06-17 | 1987-02-16 | 1987-03-30
Raquel Ortega-Herran,,800192835,yes,Raquel Ortega-Herran,1997-05-27,1997-05-27,1,itf_matches_arg.csv,"$10,000 Barcelona",1997-05-26
Regina Rajchrtova,,800179032,yes,Regina Rajchrtova,1987-10-05,1991-04-01,5,wta_matches_arg.csv,Athens Trophy - Athens | Clarins Open - Paris | Family Circle Cup - Hilton Head Island | Peugeot Italian Open - Rome | Virginia Slims of Florida - Boca Raton,1987-10-05 | 1989-09-18 | 1990-05-07 | 1991-03-04 | 1991-04-01
Renata Andrade,,800209420,yes,Renata Andrade,1997-10-27,1997-10-27,1,itf_matches_arg.csv,"$25,000 Mogi Das Cruzes",1997-10-27
Rene Collins,,800180043,yes,Rene Collins,1988-11-07,1997-01-06,9,gs_matches_arg.csv | wta_matches_arg.csv,Australian Open | Citizen Cup - Hamburg | German Open - Berlin | Italian Open - Rome | Lufthansa Cup - Berlin,1988-11-07 | 1989-03-13 | 1991-04-29 | 1992-05-11 | 1993-05-10
Rene Plant,,800177439,yes,Rene Plant,1984-05-14,1985-05-20,2,wta_matches_arg.csv,German Open - West Berlin | Swiss Open - Lugano,1984-05-14 | 1985-05-20
Rewa Harriman,,800196343,yes,Rewa Harriman,1999-01-04,1999-01-04,1,wta_matches_arg.csv,ASB Classic - Auckland,1999-01-04
Rita Reichlin-Holend,,800730226,yes,Rita Reichlin-Holend,1998-06-16,1998-06-16,1,itf_matches_arg.csv,"$10,000 Biel",1998-06-15
Roberta Pletsch,,800103629,yes,Roberta Pletsch,1996-10-21,1996-10-21,1,itf_matches_arg.csv,"$10,000 Rio Grande Sul",1996-10-21
Rosa-Anna Somma,,800207263,yes,Rosa-Anna Somma,1997-07-01,1997-07-01,1,itf_matches_arg.csv,"$10,000 Sezze",1997-06-30
Rosario Negrete,,800227601,yes,Rosario Negrete,1999-10-04,1999-10-04,1,itf_matches_arg.csv,"$10,000 Santiago",1999-10-04
Rosina Yeregui,,800226659,yes,Rosina Yeregui,1999-09-27,1999-09-27,1,itf_matches_arg.csv,"$10,000 Montevideo",1999-09-27
Rosy Darmon,,800173492,yes,Rosy Darmon,1969-06-23,1973-05-14,2,gs_matches_arg.csv,Roland Garros | Wimbledon,
Ruth Barnes,,800205353,yes,Ruth Barnes,1998-04-28,1998-04-28,1,itf_matches_arg.csv,"$10,000 Hatfield",1998-04-27
Sandra Damario,,800104681,yes,Sandra Damario,1998-08-31,1998-08-31,2,itf_matches_arg.csv,"$25,000 Manaus",1998-08-31
Severine Pinaud,,800513412,yes,Severine Pinaud,1999-06-28,1999-08-09,2,itf_matches_arg.csv,"$10,000 Saint Gaudens | $25,000 Mont-de-Marsan",1999-06-28 | 1999-08-09
Sharon Walsh-Pete,,800175034,yes,Sharon Walsh-Pete,1977-05-23,1980-09-15,2,gs_matches_arg.csv | wta_matches_arg.csv,Buick Riviera Classic - Las Vegas | Roland Garros,
Shelley Bryce,,800189468,yes,Shelley Bryce,1998-07-28,2000-06-19,6,itf_matches_arg.csv,"$10,000 Alkmaar | $10,000 Caserta | $10,000 Muri Antichi | $10,000 Sezze | $25,000 Lenzerheide",1998-07-27 | 1998-08-31 | 1999-07-12 | 2000-05-08 | 2000-06-12
Shelley Solomon,,800177518,yes,Shelley Solomon,1984-05-21,1984-05-21,1,wta_matches_arg.csv,Italian Open - Perugia,1984-05-21
Silvia Carina Mazzeo,,800202799,no,Silvia Carina Mazzeo,1996-07-22,1996-07-22,1,itf_matches_arg.csv,"$25,000 Buenos Aires",1996-07-22
Silvia Navarro-Orgilles,,800192095,yes,Silvia Navarro-Orgilles,1997-09-08,1997-09-08,1,itf_matches_arg.csv,"$10,000 La Paz",1997-09-08
Simona Rusconi,,800222220,yes,Simona Rusconi,2000-05-22,2000-05-22,1,itf_matches_arg.csv,"$10,000 Biella",2000-05-22
Soledad Bravo,,800672042,yes,Soledad Bravo,2000-03-27,2000-03-27,1,itf_matches_arg.csv,"$10,000 Santiago",2000-03-27
Stephanie Halsell,,800189197,yes,Stephanie Halsell,1995-05-08,1995-05-08,1,wta_matches_arg.csv,Rover British Clay Court Championships - Bournemouth,1995-05-08
Sue Saliba,,800176224,yes,Sue Saliba,1978-05-22,1981-07-13,3,gs_matches_arg.csv | wta_matches_arg.csv,Austrian Open - Kitzbuhel | Roland Garros | U.S. Clay Court Championships - Indianapolis,
Svetlana Cherneva,,800177873,yes,Svetlana Cherneva,1984-04-23,1986-09-29,3,manually_added_matches.csv | wta_matches_arg.csv,Taranto Open - Taranto | Virginia Slims of New Orleans - New Orleans | Virginia Slims of Pennsylvania - Hershey,1984-04-23 | 1986-03-03 | 1986-09-29
Sylvie Rual,,800175114,yes,Sylvie Rual,1977-05-16,1977-05-16,1,gs_matches_arg.csv,Roland Garros,
Tanya Ureta,,800235867,yes,Tanya Ureta,2000-03-27,2000-03-27,1,itf_matches_arg.csv,"$10,000 Santiago",2000-03-27
Tatiana Solalinde,,800220451,yes,Tatiana Solalinde,2000-09-18,2000-09-18,1,itf_matches_arg.csv,"$10,000 ASUNCION",2000-09-18
Tatiana Ávila,,800209185,yes,Tatiana Avila,1997-09-29,1997-10-06,3,itf_matches_arg.csv,"$10,000 Buenos Aires | $10,000 Montevideo",1997-09-29 | 1997-10-06
Tiffany Dabek,,800207566,yes,Tiffany Dabek,1998-08-31,2000-08-14,14,itf_matches_arg.csv,"$10,000 Asuncion | $10,000 Campos | $10,000 Guayaquil | $10,000 La Paz | $10,000 Lima",1998-08-31 | 1998-09-07 | 1998-09-21 | 1998-11-02 | 1998-11-23
Tracey Morton-Rodgers,,800178746,yes,Tracey Morton-Rodgers,1991-04-22,1994-01-10,2,gs_matches_arg.csv | wta_matches_arg.csv,Australian Open | International Championships of Spain - Barcelona,1991-04-22 | 1994-01-10
Tzipi Obziler,,800188284,yes,Tzipi Obziler,1998-02-16,2000-04-10,5,itf_matches_arg.csv | wta_matches_arg.csv,"$10,000 Azemeis | $10,000 Guimaraes | $25,000 Beersheba | Bausch & Lomb Championships - Amelia Island, Florida | Copa Colsanitas - Bogota",1998-02-16 | 1999-05-03 | 1999-05-24 | 1999-05-31 | 2000-04-10
Valeria Sirabella,,800221849,yes,Valeria Sirabella,2000-05-01,2000-05-01,1,itf_matches_arg.csv,"$10,000 Angiulli",2000-05-01
Vanessa Fouquart,,800217675,yes,Vanessa Fouquart,1999-07-31,1999-07-31,1,itf_matches_arg.csv,"$10,000 Perigeux",1999-07-26
Victoria Wemncke,,800103179,yes,Victoria Wemncke,1996-02-05,1996-02-05,1,itf_matches_arg.csv,"$50,000 Mar Del Plata",1996-02-05
Violeta Fabe-Martin,,800216320,yes,Violeta Fabe-Martin,1999-05-10,1999-05-10,1,itf_matches_arg.csv,"$10,000 Elvas",1999-05-10
Viviana Gomez,,800218891,yes,Viviana Gomez,2000-03-27,2000-03-27,1,itf_matches_arg.csv,"$10,000 Santiago",2000-03-27
Viviana Rojas-Millan,,800210212,yes,Viviana Rojas-Millan,1999-02-08,1999-02-08,1,wta_matches_arg.csv,Copa Colsanitas - Bogota,1999-02-08
Viviana Segal,,800176273,yes,Viviana Segal,1976-08-29,1980-07-21,52,bjkc_matches_arg.csv | gs_matches_arg.csv | wta_matches_arg.csv,Austrian Open - Kitzbuhel | Avon Championships of Washington - Washington | Bancroft Trophy - Vienna | Bergen County Classic - Mahwah | Christchurch,
Yuka Kaneko,,800181281,yes,Yuka Kaneko,1994-05-23,2000-10-09,4,itf_matches_arg.csv | wta_matches_arg.csv,"$25,000 Barcelona | $25,000 Valladolid | Japan Open - Tokyo | Toshiba Classic - San Diego",1994-05-23 | 1994-06-20 | 1998-07-27 | 2000-10-09
