matchType,matchId,date,tournamentId,tournamentName,tournamentCategory,surface,inOrOutdoor,tournamentCountry,roundName,draw,result,resultStatusDesc,winnerId,winnerEntry,winnerSeed,winnerName,winnerCountry,loserId,loserEntry,loserSeed,loserName,loserCountry
Fed/BJK Cup,afc63830-53a8-4be6-94ae-970baf9834c4,2022-04-15,W-FC-2022-G1-AM-A-M-ARG-GUA-01,Group I Americas,Fed/BJK Cup,Hard,O,Ecuador,Round Robin,Main Draw,3-6 6-3 6-3,,f3849617-c669-4242-a24d-2de1c2c4a712,,,Jazmin Ortenzi,ARG,d44a8fca-c89a-4fcf-ab05-a665917dd98c,,,Kirsten-Andrea Weedon,GUA
Fed/BJK Cup,56e7b260-f466-4fd3-ab7e-c31eb3edc314,2022-04-16,W-FC-2022-G1-AM-PPO-MEX-ARG-01,Group I Americas,Fed/BJK Cup,Hard,O,Ecuador,Semi Finals,Promotion Play-off,7-5 6-1,,0c27eda5-d8bb-4850-9280-7f02cfa174bb,,,Solana Sierra,ARG,49852b0b-aa1d-49ed-8a7e-6ab98df7f10a,,,Marcela Zacarias,MEX
Fed/BJK Cup,f5f08a90-4e16-44ff-9d8e-d5577ead0040,2022-04-16,W-FC-2022-G1-AM-PPO-MEX-ARG-01,Group I Americas,Fed/BJK Cup,Hard,O,Ecuador,Semi Finals,Promotion Play-off,6-3 6-0,,39634941-e001-488f-9fa4-f80a78107a28,,,Maria Lourdes Carle,ARG,dddb45b6-25a1-4cce-8278-9bfb387cecf8,,,Renata Zarazua Ruckstuhl,MEX
Fed/BJK Cup,3ac93a08-86fe-4b62-aeec-45c748ce5a75,2022-11-12,W-FC-2022-POS-M-BRA-ARG-01,Play-Offs - Brazil vs Argentina,Fed/BJK Cup,Clay,O,Argentina,Last 16,Main Draw,6-2 6-0,,4cd2b4d7-87be-4af3-9e43-e115f3e38f9a,,,Laura Pigossi,BRA,bb764008-5436-40bd-a06a-4e6696b8b780,,,Solana Sierra,ARG
Fed/BJK Cup,c9d2845b-b42a-4488-8079-c8e76d22b50c,2022-11-12,W-FC-2022-POS-M-BRA-ARG-01,Play-Offs - Brazil vs Argentina,Fed/BJK Cup,Clay,O,Argentina,Last 16,Main Draw,6-1 6-3,,a84cb222-ace2-49c2-8914-9bd8cd7d5a88,,,Beatriz Haddad Maia,BRA,34f504e5-595a-4ec6-a504-2d75b5cae3ee,,,Nadia Podoroska,ARG
Fed/BJK Cup,cb3cde5b-c9c0-4b4b-ba87-3c6be7aff8e0,2022-11-12,W-FC-2022-POS-M-BRA-ARG-01,Play-Offs - Brazil vs Argentina,Fed/BJK Cup,Clay,O,Argentina,Last 16,Main Draw,6-3 6-3,,a6d9a632-9e65-4dee-b459-93824c07c72d,,,Beatriz Haddad Maia,BRA,2eb2eb6c-053b-48c8-8b9c-a3063d6e5414,,,Maria Lourdes Carle,ARG
Fed/BJK Cup,e347e6cd-2629-46de-a45e-72902234ecd7,2022-11-12,W-FC-2022-POS-M-BRA-ARG-01,Play-Offs - Brazil vs Argentina,Fed/BJK Cup,Clay,O,Argentina,Last 16,Main Draw,6-2 7-5,,76f59ae3-2801-45b2-86c3-baed111eacfb,,,Paula Ormaechea,ARG,f886ab67-dbcf-4b36-b5e3-381d0d8431e4,,,Laura Pigossi,BRA
Fed/BJK Cup,16669757-d938-4698-83ee-7d3398765d16,2023-04-11,W-FC-2023-G1-AM-A-M-ARG-GUA-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-7(5) 6-0 6-1,,58c6230f-4ae6-4454-b1c5-2edf04980825,,,Julia Riera,ARG,e198ae25-6cd2-4fd5-bfa2-de4aa5357a58,,,Maria Gabriela Rivera Corado,GUA
Fed/BJK Cup,add8d72f-b463-44c2-885d-6c198c45f8d9,2023-04-11,W-FC-2023-G1-AM-A-M-ARG-GUA-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-2 6-3,,c6461d68-248d-4871-9df6-f21399439c3c,,,Martina Capurro Taborda,ARG,041cfc6e-d4db-44c9-bfbd-4d0af9bc7366,,,Kirsten-Andrea Weedon,GUA
Fed/BJK Cup,059cf51e-8909-442c-8c04-d8b252de2f55,2023-04-12,W-FC-2023-G1-AM-A-M-ARG-BOL-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-4 6-0,,653dc772-0bba-4ecf-b682-1164fe22d1e7,,,Martina Capurro Taborda,ARG,9edcd808-64ce-4b2b-99cd-699e29a8b185,,,Catalina Padilla Udaeta,BOL
Fed/BJK Cup,c62288ae-d81f-4ab3-b657-5d070f61eee5,2023-04-12,W-FC-2023-G1-AM-A-M-ARG-BOL-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-2 6-1,,3be61783-136a-4cb2-86cf-64058fd3b493,,,Julia Riera,ARG,a6a65b90-5dca-477b-a2b7-53e45a723e46,,,Noelia Zeballos Melgar,BOL
Fed/BJK Cup,b2d559d8-efbb-4593-a9a9-219b89eb06cf,2023-04-13,W-FC-2023-G1-AM-A-M-ARG-CHI-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-2,,32ac969b-844a-4e1d-ae5f-83745654ac8c,,,Julia Riera,ARG,4409e34f-0550-488a-9948-f562ae6bd407,,,Daniela Seguel,CHI
Fed/BJK Cup,dbe12254-3c3f-4548-b17b-efa9e2dfabe5,2023-04-13,W-FC-2023-G1-AM-A-M-ARG-CHI-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-3 6-0,,8e155c14-832d-487f-a6d4-ae03aa1cfdce,,,Martina Capurro Taborda,ARG,e518450e-e7f9-49da-acec-a8c474298556,,,Fernanda Labrana,CHI
Fed/BJK Cup,7d3fc2ab-00de-42ad-9d79-59f67b1b7ab4,2023-04-14,W-FC-2023-G1-AM-A-M-ARG-PER-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,7-5 6-1,,c7b6b4fe-2608-4399-bafb-a82cb3cc3d4e,,,Lucciana Perez Alarcon,PER,deaa74ed-633e-4980-a280-7725cc261560,,,Martina Capurro Taborda,ARG
Fed/BJK Cup,7d5f5025-8edf-43c9-9588-81ef8f730b5e,2023-04-14,W-FC-2023-G1-AM-A-M-ARG-PER-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-0 6-0,,411faa62-7c89-4ef7-b1f8-fad9449193b3,,,Julia Riera,ARG,994adf9f-d257-4229-bf4e-961127eecf4d,,,Romina Ccuno,PER
Fed/BJK Cup,49efd947-6b72-4fcb-867c-6bcb150068ee,2023-04-15,W-FC-2023-G1-AM-A-M-ARG-COL-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-1 6-0,,e24aa5f6-4b6c-49df-ae8b-7612f9bf0dc5,,,Martina Capurro Taborda,ARG,5b9e7fae-e1a0-4a27-8ae9-d72a8e229f38,,,Yuliana Monroy,COL
Fed/BJK Cup,f6889a6a-f641-43a8-8fdd-a8aecb1a1c06,2023-04-15,W-FC-2023-G1-AM-A-M-ARG-COL-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-3 6-2,,645a0559-a860-4eb6-8be7-2c04d5017a1c,,,Julia Riera,ARG,ec91fa46-9efc-4a48-83a4-6f0853f669ff,,,Maria Herazo,COL
Fed/BJK Cup,026f7106-2477-4744-a71a-27a2acec384d,2023-11-11,W-FC-2023-POS-M-SVK-ARG-01,Play-Offs - Slovakia vs Argentina,Fed/BJK Cup,I.hard,I,Slovakia,Last 16,Main Draw,7-5 7-5,,9fa819c1-7dc6-4ad2-8bc2-c221c845742f,,,Julia Riera,ARG,026950d2-2afa-4326-b70d-77044d3a2945,,,Anna Karolina Schmiedlova,SVK
Fed/BJK Cup,200e39df-5dfd-4a9c-af7d-17748a58e7eb,2023-11-11,W-FC-2023-POS-M-SVK-ARG-01,Play-Offs - Slovakia vs Argentina,Fed/BJK Cup,I.hard,I,Slovakia,Last 16,Main Draw,3-6 6-4 6-4,,4711763c-2ff4-4d83-baea-b87f2524b644,,,Viktoria Hruncakova,SVK,1c7e1d90-c74e-4225-8794-9182a651814b,,,Julia Riera,ARG
Fed/BJK Cup,4da917ab-8fcd-44b0-946a-bedecc5f9ad7,2023-11-11,W-FC-2023-POS-M-SVK-ARG-01,Play-Offs - Slovakia vs Argentina,Fed/BJK Cup,I.hard,I,Slovakia,Last 16,Main Draw,6-1 6-4,,6db738e7-ceb5-422f-a791-879523de567c,,,Renata Jamrichova,SVK,aa9ac239-68c2-4cc3-bce9-270e7ea37263,,,Nadia Podoroska,ARG
Fed/BJK Cup,caf674f7-be22-4716-b8bb-1986f38fca2d,2023-11-11,W-FC-2023-POS-M-SVK-ARG-01,Play-Offs - Slovakia vs Argentina,Fed/BJK Cup,I.hard,I,Slovakia,Last 16,Main Draw,3-6 6-3 6-3,,8ffedc68-d775-4c63-b40e-75b2f1d40605,,,Viktoria Hruncakova,SVK,85c7fd09-f669-411e-b8a9-62006a4a1e9b,,,Nadia Podoroska,ARG
Fed/BJK Cup,04a11a11-3ed3-497c-a4a7-507e3f167751,2024-04-09,W-FC-2024-G1-AM-A-M-ARG-PER-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-2 6-1,,f7339b28-e5b8-409a-9e0d-183c8f7c43c0,,,Julia Riera,ARG,0de45f28-1f5c-4eb6-9486-9a01f235d780,,,Romina Ccuno,PER
Fed/BJK Cup,5991c1c1-f721-4e41-b47c-305e5f52baa2,2024-04-09,W-FC-2024-G1-AM-A-M-ARG-PER-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-2 6-1,,883ce5ce-3298-4e5f-b02a-edf745a67762,,,Martina Capurro Taborda,ARG,db1ba3a2-a21c-4517-8952-2353c4281d74,,,Francesca Maguina Bunikowska,PER
Fed/BJK Cup,89448a19-aa36-411e-9548-0b7b9f31f277,2024-04-10,W-FC-2024-G1-AM-A-M-ARG-ECU-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-0 6-1,,db621026-c4f1-4b0d-9838-8a177a784f95,,,Julia Riera,ARG,cec9dabd-b7bd-42cb-90d6-ea687b5dadf8,,,Tania Isabel Andrade Sabando,ECU
Fed/BJK Cup,fb0a9998-f9fe-4749-a943-3288eb566abe,2024-04-10,W-FC-2024-G1-AM-A-M-ARG-ECU-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-2 6-2,,ce76c9e4-053e-4d5f-8b3f-7714f65ea1dc,,,Martina Capurro Taborda,ARG,6c9e40e0-6a41-4a52-adff-041d2a096e3b,,,Valentina Ponce Serrano,ECU
Fed/BJK Cup,08455c75-1ded-43de-9d3e-ed8ec95a4bc7,2024-04-11,W-FC-2024-G1-AM-A-M-ARG-VEN-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-0 6-1,,6829b4fc-8fe7-4f30-b52f-4b877ca2ebf3,,,Maria Lourdes Carle,ARG,0690232b-6010-4e41-954e-2b532ebf35bd,,,Vanesa Suarez,VEN
Fed/BJK Cup,80e9721c-f50d-4a25-affa-8d07fd54584d,2024-04-11,W-FC-2024-G1-AM-A-M-ARG-VEN-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-0 6-2,,325dedea-781f-49b6-9565-8bda340d2219,,,Julia Riera,ARG,f6754893-b365-4ca7-9dce-9af09f7ec0c5,,,Sabrina Balderrama,VEN
Fed/BJK Cup,c6a9ca45-2920-4095-8081-9510263ba3b0,2024-04-12,W-FC-2024-G1-AM-A-M-ARG-CHI-01,Group I Americas,Fed/BJK Cup,Clay,O,Colombia,Round Robin,Main Draw,6-2 6-7(1) 6-3,,1c120957-145c-48af-ae16-38a47dae3498,,,Maria Lourdes Carle,ARG,42289bb2-47a0-4081-a9c0-694ade038ea5,,,Daniela Seguel,CHI
